ordinal,column,kind,dtype,source_column,rol_mvp,subpregunta,transform_config,n_non_null,n_null,pct_null,unique_non_null
1,iso3,id,string,,,,,43,0,0.0,43
2,country_name_canonical,id,string,,,,,43,0,0.0,43
3,entity_type,metadata,string,,,,,43,0,0.0,1
4,region,metadata,string,,,,,42,1,2.3256,6
5,income_group,metadata,string,,,,,42,1,2.3256,3
6,n_sources_present,metadata,integer,,,,,43,0,0.0,3
7,source_list,metadata,string,,,,,43,0,0.0,4
8,n_variables_available,metadata,integer,,,,,43,0,0.0,28
9,pct_variables_available,metadata,float,,,,,43,0,0.0,28
10,included_in_matrix,metadata,bool,,,,,43,0,0.0,1
11,included_in_dense_candidate,metadata,bool,,,,,43,0,0.0,1
12,inclusion_notes,metadata,string,,,,,1,42,97.6744,1
13,iapp_ley_ia_vigente,observed_core,float,iapp_ley_ia_vigente,X1_regulatory,all,none,18,25,58.1395,2
14,iapp_categoria_obligatoriedad,observed_core,string,iapp_categoria_obligatoriedad,X1_regulatory,all,one_hot,18,25,58.1395,5
15,iapp_proyecto_ley_ia,observed_core,float,iapp_proyecto_ley_ia,X1_regulatory,all,none,18,25,58.1395,2
16,iapp_modelo_gobernanza,observed_core,string,iapp_modelo_gobernanza,X1_regulatory,all,one_hot,18,25,58.1395,4
17,iapp_n_leyes_relacionadas,observed_core,float,iapp_n_leyes_relacionadas,X1_regulatory,all,zscore,18,25,58.1395,8
18,iapp_n_autoridades,observed_core,float,iapp_n_autoridades,X1_regulatory,all,zscore,18,25,58.1395,8
19,oxford_ind_company_investment_emerging_tech,observed_core,float,oxford_ind_company_investment_emerging_tech,Y_Q1_investment,Q1,zscore,43,0,0.0,40
20,oxford_ind_ai_unicorns_log,observed_core,float,oxford_ind_ai_unicorns_log,Y_Q1_investment,Q1,log_zscore,43,0,0.0,7
21,oxford_ind_non_ai_unicorns_log,observed_core,float,oxford_ind_non_ai_unicorns_log,Y_Q1_investment,Q1,log_zscore,43,0,0.0,17
22,oxford_ind_vc_availability,observed_core,float,oxford_ind_vc_availability,Y_Q1_investment,Q1,log_zscore,43,0,0.0,29
23,wipo_c_vencapdeal_score,observed_core,float,wipo_c_vencapdeal_score,Y_Q1_investment,Q1,zscore,40,3,6.9767,37
24,wb_fdi_net_inflows,observed_core,float,wb_fdi_net_inflows,Y_Q1_or_control,Q1,signed_log_zscore,42,1,2.3256,42
25,ms_h2_2025_ai_diffusion_pct,observed_core,float,ms_h2_2025_ai_diffusion_pct,Y_Q2_adoption,Q2,zscore,42,1,2.3256,38
26,ms_h1_2025_ai_diffusion_pct,observed_core,float,ms_h1_2025_ai_diffusion_pct,Y_Q2_adoption,Q2,zscore,42,1,2.3256,39
27,ms_change_pp,observed_core,float,ms_change_pp,Y_Q2_adoption,Q2,zscore,42,1,2.3256,20
