iso3,country_name_canonical,entity_type,region,income_group,present_iapp,present_microsoft,present_oxford,present_wb,present_wipo,present_stanford,present_oecd,present_anthropic,n_sources_present,source_list,included_in_matrix,included_in_dense_candidate,inclusion_notes
ARE,United Arab Emirates,country_iso3,"Middle East, North Africa, Afghanistan & Pakistan",High income,1,1,1,1,1,1,1,1,8,"iapp, microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
ARG,Argentina,country_iso3,Latin America & Caribbean ,Upper middle income,1,1,1,1,1,1,1,1,8,"iapp, microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
AUS,Australia,country_iso3,East Asia & Pacific,High income,1,1,1,1,1,1,1,1,8,"iapp, microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
BGD,Bangladesh,country_iso3,South Asia,Lower middle income,1,1,1,1,1,1,1,1,8,"iapp, microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
BRA,Brazil,country_iso3,Latin America & Caribbean ,Upper middle income,1,1,1,1,1,1,1,1,8,"iapp, microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
CAN,Canada,country_iso3,North America,High income,1,1,1,1,1,1,1,1,8,"iapp, microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
CHL,Chile,country_iso3,Latin America & Caribbean ,High income,1,1,1,1,1,1,1,1,8,"iapp, microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
CHN,China,country_iso3,East Asia & Pacific,Upper middle income,1,1,1,1,1,1,1,1,8,"iapp, microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
COL,Colombia,country_iso3,Latin America & Caribbean ,Upper middle income,1,1,1,1,1,1,1,1,8,"iapp, microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
EGY,Egypt,country_iso3,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,1,1,1,1,1,1,1,1,8,"iapp, microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
GBR,United Kingdom,country_iso3,Europe & Central Asia,High income,1,1,1,1,1,1,1,1,8,"iapp, microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
IDN,Indonesia,country_iso3,East Asia & Pacific,Upper middle income,1,1,1,1,1,1,1,1,8,"iapp, microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
IND,India,country_iso3,South Asia,Lower middle income,1,1,1,1,1,1,1,1,8,"iapp, microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
ISR,Israel,country_iso3,"Middle East, North Africa, Afghanistan & Pakistan",High income,1,1,1,1,1,1,1,1,8,"iapp, microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
JPN,Japan,country_iso3,East Asia & Pacific,High income,1,1,1,1,1,1,1,1,8,"iapp, microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
KEN,Kenya,country_iso3,Sub-Saharan Africa ,Lower middle income,1,1,1,1,1,1,1,1,8,"iapp, microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
KOR,Republic of Korea,country_iso3,East Asia & Pacific,High income,1,1,1,1,1,1,1,1,8,"iapp, microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
